name,state_name,early_career_pay,mid_career_pay
Haverford College,Pennsylvania,59300,112300
Franklin and Marshall College,Pennsylvania,57200,109700
Gettysburg College,Pennsylvania,58400,109300
Pennsylvania State University-Main Campus,Pennsylvania,58500,105500
Saint Joseph's University,Pennsylvania,57300,105100
La Salle University,Pennsylvania,55800,104800
Thomas Jefferson University,Pennsylvania,63400,102500
Muhlenberg College,Pennsylvania,53400,101900
Ursinus College,Pennsylvania,54400,101800
Pennsylvania State University-Penn State Harrisburg,Pennsylvania,55000,100400
University of Pittsburgh-Pittsburgh Campus,Pennsylvania,55900,100400
Dickinson College,Pennsylvania,55800,100100
Widener University,Pennsylvania,55700,100100
University of Scranton,Pennsylvania,56400,99700
Grove City College,Pennsylvania,54400,98400
Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania,58800,97900
Brown University,Rhode-Island,68200,127600
Bryant University,Rhode-Island,60500,108600
Providence College,Rhode-Island,58900,106900
Rhode Island School of Design,Rhode-Island,55500,100600
University of Rhode Island,Rhode-Island,54500,99700
Salve Regina University,Rhode-Island,53000,93900
New England Institute of Technology,Rhode-Island,51700,93200
Roger Williams University,Rhode-Island,52900,92700
Rhode Island College,Rhode-Island,47200,83500
Johnson & Wales University-Online,Rhode-Island,46200,81600
Johnson & Wales University-Providence,Rhode-Island,46500,78900
Citadel Military College of South Carolina,South-Carolina,60400,108100
Clemson University,South-Carolina,57500,106700
Furman,South-Carolina,52100,98800
Wofford College,South-Carolina,51300,96600
Medical University of South Carolina,South-Carolina,54800,92700
University of South Carolina-Columbia,South-Carolina,50300,89900
Presbyterian College,South-Carolina,48800,89900
College of Charleston,South-Carolina,47300,85100
University of South Carolina-Upstate,South-Carolina,46000,81400
South Carolina State University,South-Carolina,44500,80800
Winthrop University,South-Carolina,44300,79700
Erskine College,South-Carolina,43500,78000
Coastal Carolina University,South-Carolina,44700,77600
Francis Marion University,South-Carolina,42900,77600
Lander University,South-Carolina,42600,77100
Limestone College,South-Carolina,42100,76500
Charleston Southern University,South-Carolina,42800,76300
University of South Carolina-Aiken,South-Carolina,41600,75100
Newberry College,South-Carolina,41200,74700
Southern Wesleyan University,South-Carolina,42900,74600
Converse College,South-Carolina,39000,71000
Anderson University (South Carolina),South-Carolina,39900,70100
Columbia College (South Carolina),South-Carolina,39200,68300
Benedict College,South-Carolina,38100,67500
Columbia International University,South-Carolina,36600,66200
South Dakota School of Mines and Technology,South-Dakota,66500,118500
South Dakota State University,South-Dakota,50500,91900
Augustana University,South-Dakota,47900,88400
University of South Dakota,South-Dakota,47500,87900
Dakota State University,South-Dakota,48400,84300
University of Sioux Falls,South-Dakota,44400,78200
Northern State University,South-Dakota,42300,77700
Mount Marty College,South-Dakota,41400,76500
Dakota Wesleyan University,South-Dakota,41800,75700
Black Hills State University,South-Dakota,40400,72600
Vanderbilt University,Tennessee,65400,119100
Sewanee-The University of the South,Tennessee,53700,97800
Rhodes College,Tennessee,51900,97800
Christian Brothers University,Tennessee,51500,96500
Baptist Memorial College of Health Sciences,Tennessee,55700,95700
Tennessee Technological University,Tennessee,53100,95100
The University of Tennessee-Knoxville,Tennessee,51200,95100
University of Memphis,Tennessee,47200,85800
Lipscomb University,Tennessee,49000,84800
Southern Adventist University,Tennessee,47500,84000
Fisk University,Tennessee,45300,83600
Union University,Tennessee,46400,83000
The University of Tennessee-Chattanooga,Tennessee,46000,82300
Trevecca Nazarene University,Tennessee,45300,81700
Middle Tennessee State University,Tennessee,46500,81100
Cumberland University,Tennessee,45500,81000
Belmont University,Tennessee,47300,80900
The University of Tennessee-Martin,Tennessee,44400,78600
Tennessee State University,Tennessee,47200,78400
Freed-Hardeman University,Tennessee,43700,78200
Austin Peay State University,Tennessee,44200,78200
East Tennessee State University,Tennessee,43700,77300
Carson-Newman University,Tennessee,42700,76500
Maryville College,Tennessee,42800,75300
Milligan College,Tennessee,41200,74900
Rice University,Texas,71000,129500
The King's University,Texas,63800,116500
Texas A&M University-College Station,Texas,60600,115700
The University of Texas at Austin,Texas,60700,112800
Southern Methodist University,Texas,59700,110400
The University of Texas Health Science Center at Houston,Texas,65400,109400
Texas Tech University,Texas,56800,106500
Texas Tech University Health Sciences Center,Texas,61300,104900
University of Houston,Texas,56000,103900
The University of Texas Medical Branch,Texas,61100,103100
Trinity University,Texas,54900,102900
Baylor University,Texas,55500,101400
Lamar University,Texas,53300,101200
The University of Texas at Dallas,Texas,57100,100900
The University of Texas Health Science Center at San Antonio,Texas,59400,100200
The University of Texas at Arlington,Texas,55400,99500
Prairie View A&M University,Texas,57800,99400
LeTourneau University,Texas,56600,98900
Texas Christian University,Texas,56000,98700
Texas A&M University-Kingsville,Texas,53100,97500
University of Dallas,Texas,53000,96400
St. Mary's University,Texas,52900,95300
University of Houston-Clear Lake,Texas,50700,94800
Amberton University,Texas,52800,93600
Southwestern University,Texas,51800,93500
Brigham Young University-Provo,Utah,59200,108000
University of Utah,Utah,54800,102600
Weber State University,Utah,53900,94000
Utah State University,Utah,52400,93900
Westminster College (Utah),Utah,51700,92200
Western Governors University,Utah,54500,91500
Utah Valley University,Utah,51100,90600
Southern Utah University,Utah,46400,84400
"Stevens-Henager College (Murray, Utah)",Utah,42400,76100
Independence University,Utah,40500,74100
Middlebury College,Vermont,60400,109800
University of Vermont,Vermont,53200,99400
Norwich University,Vermont,57000,99100
Saint Michael's College,Vermont,52900,98500
Vermont Technical College,Vermont,52400,93900
Bennington College,Vermont,48800,90000
Champlain College,Vermont,51100,88400
College of St Joseph,Vermont,47000,85000
Southern Vermont College,Vermont,42900,78700
Goddard College,Vermont,42700,76900
Castleton University,Vermont,41700,76200
Green Mountain College,Vermont,42000,75200
Lyndon State College,Vermont,41500,75100
Johnson State College,Vermont,39500,72100
Washington and Lee University,Virginia,65900,123200
Virginia Military Institute,Virginia,65900,120600
University of Virginia-Main Campus,Virginia,64500,117500
Virginia Polytechnic Institute and State University,Virginia,62700,114000
College of William and Mary,Virginia,59000,108900
Hampden-Sydney College,Virginia,58300,108600
University of Richmond,Virginia,59800,107500
George Mason University,Virginia,58900,105700
James Madison University,Virginia,57400,102600
University of Mary Washington,Virginia,54200,98200
Jefferson College of Health Sciences,Virginia,55500,97600
Marymount University,Virginia,52300,93100
Hampton University,Virginia,52700,92600
Old Dominion University,Virginia,50200,89900
Lynchburg College,Virginia,47700,89100
Virginia Commonwealth University,Virginia,49900,88200
Christopher Newport University,Virginia,50800,87200
Shenandoah University,Virginia,48700,86600
Randolph College,Virginia,47000,86100
Roanoke College,Virginia,48500,85100
Longwood University,Virginia,47300,83300
Radford University,Virginia,48900,82900
The University of Virginia's College at Wise,Virginia,46500,82600
Virginia State University,Virginia,44900,81800
Ferrum College,Virginia,43000,80600
Seattle University,Washington,60600,113700
University of Washington-Seattle Campus,Washington,61900,112300
University of Washington-Bothell Campus,Washington,60200,108000
Gonzaga University,Washington,57800,107600
Washington State University,Washington,55900,103700
Seattle Pacific University,Washington,53600,103400
Whitman College,Washington,54600,102600
University of Puget Sound,Washington,54200,101300
Western Washington University,Washington,55000,99300
Pacific Lutheran University,Washington,54500,98100
Walla Walla University,Washington,53700,97800
University of Washington-Tacoma Campus,Washington,56000,96800
City University of Seattle,Washington,51500,94600
Central Washington University,Washington,52700,93200
Saint Martin's University,Washington,53200,91800
Northwest University,Washington,50900,89000
Whitworth University,Washington,49900,88800
Bellevue College,Washington,50100,88500
Whitworth University-Adult Degree Programs,Washington,50100,88100
Eastern Washington University,Washington,49500,87500
Cornish College of the Arts,Washington,49000,86400
Bastyr University,Washington,48400,86300
The Evergreen State College,Washington,47500,83500
Clark College,Washington,43500,78400
Heritage University,Washington,41100,73600
West Virginia University Institute of Technology,West-Virginia,57100,103700
West Virginia University,West-Virginia,54400,99900
Alderson Broaddus University,West-Virginia,50600,90500
Shepherd University,West-Virginia,47100,87100
West Virginia Wesleyan College,West-Virginia,47000,85200
Bethany College (West Virginia),West-Virginia,46000,84900
Wheeling Jesuit University,West-Virginia,44800,83400
University of Charleston,West-Virginia,44600,81900
Marshall University,West-Virginia,45000,79700
West Liberty University,West-Virginia,42500,77000
Davis & Elkins College,West-Virginia,41100,76500
West Virginia State University,West-Virginia,41800,76000
Concord University,West-Virginia,41700,75800
Fairmont State University,West-Virginia,42900,74100
Bluefield State College,West-Virginia,43200,72800
Ohio Valley University,West-Virginia,38800,71100
Glenville State College,West-Virginia,37400,67700
West Virginia University at Parkersburg,West-Virginia,36700,65200
Milwaukee School of Engineering,Wisconsin,65700,117600
Marquette University,Wisconsin,57800,105900
University of Wisconsin-Madison,Wisconsin,57300,104400
University of Wisconsin-Platteville,Wisconsin,56800,100300
Lawrence University,Wisconsin,51500,98800
Bellin College,Wisconsin,55800,97600
University of Wisconsin-Eau Claire,Wisconsin,52100,93600
Marian University (Wisconsin),Wisconsin,46500,90800
University of Wisconsin-Milwaukee,Wisconsin,50600,90300
Ripon College,Wisconsin,46300,89600
University of Wisconsin-Stout,Wisconsin,50400,89500
University of Wisconsin-Whitewater,Wisconsin,48900,89300
Saint Norbert College,Wisconsin,49300,88700
University of Wisconsin-La Crosse,Wisconsin,49600,88300
Edgewood College,Wisconsin,49500,87500
Carroll University,Wisconsin,45600,86500
Beloit College,Wisconsin,47400,85700
Carthage College,Wisconsin,48900,85400
University of Wisconsin-Oshkosh,Wisconsin,47700,84300
Cardinal Stritch University,Wisconsin,47000,82500
Wisconsin Lutheran College,Wisconsin,46200,82500
Viterbo University,Wisconsin,46800,81900
Concordia University-Wisconsin,Wisconsin,46700,81600
University of Wisconsin-Parkside,Wisconsin,46000,81400
University of Wisconsin-River Falls,Wisconsin,47100,81300
University of Wyoming,Wyoming,52400,98800
